player_name,position,team,league,minutes,xg_chain,xg_buildup,final_third_impact,total_contribution,goals,assists,g_plus_a,archetype,quadrant
Conor Gallagher,MF,Atlético Madrid,ESP-La Liga,1633.0,7.897032497450709,4.44360277056694,3.453429726883769,12.34063526801765,3,3,6,Balanced,Finisher
Tomáš Suslov,"MF,FW",Hellas Verona,ITA-Serie A,2080.0,7.891592211090028,5.554568611085415,2.3370236000046134,13.446160822175443,0,1,1,Balanced,Complete
Marco Grüll,"FW,MF",Werder Bremen,GER-Bundesliga,1181.0,7.891282428056002,2.1898325979709625,5.701449830085039,10.081115026026964,6,1,7,Finisher,Finisher
Badredine Bouanani,"MF,FW",Nice,FRA-Ligue 1,1099.0,7.888569585978985,4.111181752756238,3.777387833222747,11.999751338735223,3,3,6,Balanced,Finisher
Álvaro Morata,"FW,MF",Milan,ITA-Serie A,1099.0,7.887570891529322,3.076422202400863,4.8111486891284585,10.963993093930185,5,0,5,Balanced,Finisher
Christoph Baumgartner,MF,RB Leipzig,GER-Bundesliga,1610.0,7.871452065184712,3.339525116607547,4.531926948577166,11.21097718179226,2,1,3,Balanced,Finisher
Deiver Machado,"DF,MF",Lens,FRA-Ligue 1,1805.0,7.867527216672897,4.957184759899974,2.9103424567729235,12.824711976572871,1,4,5,Balanced,Complete
Phillip Tietz,FW,Augsburg,GER-Bundesliga,1686.0,7.860493987798691,1.4614172922447324,6.399076695553958,9.321911280043423,7,2,9,Finisher,Finisher
Bryan Gil,"FW,MF",Girona,ESP-La Liga,1721.0,7.851792827248573,4.512992458418012,3.3388003688305616,12.364785285666585,3,3,6,Balanced,Finisher
Nicolás González,"FW,MF",Juventus,ITA-Serie A,1750.0,7.834341991692781,3.530604605562985,4.303737386129796,11.364946597255766,3,2,5,Balanced,Finisher
Alexander Bernhardsson,"FW,MF",Holstein Kiel,GER-Bundesliga,1263.0,7.800582721829414,2.906135031953454,4.89444768987596,10.706717753782868,7,2,9,Balanced,Finisher
Abdoulaye Touré,MF,Le Havre,FRA-Ligue 1,2324.0,7.795632460154593,6.679130156524479,1.1165023036301136,14.474762616679072,10,1,11,Architect,Complete
Robin Le Normand,DF,Atlético Madrid,ESP-La Liga,2151.0,7.784352958202362,7.242462515830994,0.5418904423713684,15.026815474033356,1,0,1,Architect,Complete
Hugo Magnetti,MF,Brest,FRA-Ligue 1,2323.0,7.780316152609885,6.655176809057593,1.1251393435522914,14.435492961667478,1,0,1,Architect,Complete
Gavi,"MF,FW",Barcelona,ESP-La Liga,1085.0,7.769327191635966,5.841560788452625,1.927766403183341,13.610887980088592,1,1,2,Architect,Complete
Sander Berge,MF,Fulham,ENG-Premier League,2224.0,7.763672082684934,6.734488721005619,1.0291833616793156,14.498160803690553,0,0,0,Architect,Complete
Neil El Aynaoui,MF,Lens,FRA-Ligue 1,1588.0,7.76118179038167,5.66588681191206,2.09529497846961,13.42706860229373,8,1,9,Balanced,Complete
Facundo Buonanotte,"FW,MF",Leicester City,ENG-Premier League,1523.0,7.7602359261363745,3.0961448941379786,4.664091031998396,10.856380820274353,5,2,7,Balanced,Finisher
Jack Harrison,FW,Everton,ENG-Premier League,2076.0,7.757276251912117,2.7420455012470484,5.015230750665069,10.499321753159165,1,0,1,Finisher,Finisher
Lucas Hernández,DF,Paris S-G,FRA-Ligue 1,877.0,7.75650717690587,7.74389760568738,0.0126095712184906,15.50040478259325,0,0,0,Architect,Complete
Joakim Mæhle,DF,Wolfsburg,GER-Bundesliga,2188.0,7.756310272030532,4.024230643175542,3.73207962885499,11.780540915206075,3,4,7,Balanced,Finisher
Josip Stanišić,DF,Bayern Munich,GER-Bundesliga,876.0,7.743158828467131,6.437034394592047,1.306124433875084,14.180193223059177,0,2,2,Architect,Complete
Max Kilman,DF,West Ham,ENG-Premier League,3348.0,7.727036248892546,7.178434561938047,0.5486016869544983,14.905470810830593,0,1,1,Architect,Complete
Felix Passlack,"DF,MF",Bochum,GER-Bundesliga,2334.0,7.7228672206401825,4.872329683974385,2.8505375366657972,12.595196904614568,1,6,7,Balanced,Complete
Domingos André Ribeiro Almeida,"MF,FW",Valencia,ESP-La Liga,1977.0,7.721359102986753,4.680089517496526,3.0412695854902267,12.40144862048328,0,4,4,Balanced,Complete
Răzvan Marin,MF,Cagliari,ITA-Serie A,1406.0,7.719012740068138,5.908012542873621,1.8110001971945167,13.627025282941759,3,2,5,Architect,Complete
Adam Marušić,DF,Lazio,ITA-Serie A,2337.0,7.717258364893496,6.355395727790892,1.361862637102604,14.072654092684388,4,0,4,Architect,Complete
Rodrigo Muniz,FW,Fulham,ENG-Premier League,964.0,7.69332305714488,1.791342383250594,5.901980673894286,9.484665440395474,8,1,9,Finisher,Finisher
Kirian Rodríguez,MF,Las Palmas,ESP-La Liga,1758.0,7.692378982901573,5.614286290481687,2.0780926924198866,13.30666527338326,0,3,3,Balanced,Complete
Dominic Calvert-Lewin,FW,Everton,ENG-Premier League,1609.0,7.679076200351119,1.292787717655301,6.386288482695818,8.97186391800642,3,1,4,Finisher,Finisher
Djaoui Cissé,MF,Rennes,FRA-Ligue 1,1121.0,7.660221703350544,7.1488517336547375,0.5113699696958065,14.809073437005281,1,0,1,Architect,Complete
Oliver Burke,FW,Werder Bremen,GER-Bundesliga,908.0,7.6511080376803875,1.8381715761497617,5.812936461530626,9.48927961383015,5,0,5,Finisher,Finisher
Morten Thorsby,"MF,FW",Genoa,ITA-Serie A,1898.0,7.648120200261474,4.157784847542644,3.490335352718829,11.805905047804117,0,1,1,Balanced,Limited
Philipp Sander,MF,Gladbach,GER-Bundesliga,1400.0,7.633903082460165,6.519067211076617,1.1148358713835478,14.152970293536782,1,0,1,Architect,Architect
Neal Maupay,FW,Marseille,FRA-Ligue 1,1042.0,7.628276482224464,1.5746088549494743,6.05366762727499,9.202885337173939,4,4,8,Finisher,Limited
Dante,DF,Nice,FRA-Ligue 1,1964.0,7.626007186248898,7.554612623527646,0.07139456272125155,15.180619809776545,0,0,0,Architect,Architect
Francesco Acerbi,DF,Inter,ITA-Serie A,1710.0,7.623959269374609,7.433021267876029,0.19093800149857998,15.056980537250638,0,1,1,Architect,Architect
Nicolas Seiwald,"MF,DF",RB Leipzig,GER-Bundesliga,2084.0,7.612222496420145,6.73781743645668,0.8744050599634647,14.350039932876825,0,0,0,Architect,Architect
Tyler Adams,MF,Bournemouth,ENG-Premier League,1965.0,7.6065224930644035,5.169210600666702,2.4373118923977017,12.775733093731105,0,3,3,Balanced,Architect
Christian Eriksen,MF,Manchester Utd,ENG-Premier League,1061.0,7.565414318814874,6.649325430393219,0.9160888884216547,14.214739749208093,1,2,3,Architect,Architect
Dimitri Foulquier,DF,Valencia,ESP-La Liga,2299.0,7.5555700827389956,6.142678575590253,1.4128915071487427,13.698248658329248,0,1,1,Architect,Architect
Irvin Cardona,FW,Saint-Étienne,FRA-Ligue 1,1063.0,7.547399457544088,1.9437703993171451,5.603629058226943,9.491169856861234,5,3,8,Finisher,Limited
Jeffrey Gouweleeuw,DF,Augsburg,GER-Bundesliga,2944.0,7.547286327928305,6.413223074749112,1.1340632531791925,13.960509402677417,1,4,5,Architect,Architect
Jesús Areso,DF,Osasuna,ESP-La Liga,3079.0,7.537882330827415,5.577389623038471,1.9604927077889442,13.115271953865886,0,3,3,Architect,Architect
Pedro Pereira,DF,Monza,ITA-Serie A,2665.0,7.526778059080243,5.5956121776252985,1.9311658814549446,13.122390236705542,1,3,4,Architect,Architect
Goduine Koyalipou,FW,Lens,FRA-Ligue 1,885.0,7.506039686501026,0.9795812405645848,6.526458445936441,8.48562092706561,4,0,4,Finisher,Limited
Kingsley Ehizibue,DF,Udinese,ITA-Serie A,2498.0,7.501473223790526,3.715930735692382,3.7855424880981445,11.217403959482908,0,1,1,Balanced,Limited
Valentino Lazaro,"DF,FW",Torino,ITA-Serie A,2307.0,7.490926083177328,5.380676664412022,2.1102494187653065,12.87160274758935,0,6,6,Balanced,Architect
Bryan Zaragoza,"FW,MF",Osasuna,ESP-La Liga,1836.0,7.487064410001039,1.18960455711931,6.297459852881729,8.67666896712035,1,6,7,Finisher,Limited
Mika Mármol,DF,Las Palmas,ESP-La Liga,2399.0,7.467444524168968,6.85720550082624,0.6102390233427286,14.324650024995208,0,1,1,Architect,Architect
Cameron Archer,FW,Southampton,ENG-Premier League,1441.0,7.4672291576862335,1.9211225835606456,5.546106574125588,9.388351741246879,2,0,2,Finisher,Limited
Albert Guðmundsson,"FW,MF",Fiorentina,ITA-Serie A,1273.0,7.442773260176182,3.083286017179489,4.359487242996693,10.526059277355671,6,1,7,Balanced,Limited
Sandro Ramírez,"FW,MF",Las Palmas,ESP-La Liga,2034.0,7.435247108340263,2.219607894308865,5.215639214031398,9.654855002649128,9,3,12,Finisher,Limited
Illia Zabarnyi,DF,Bournemouth,ENG-Premier League,3109.0,7.431322017684579,7.211819479241967,0.2195025384426117,14.643141496926546,0,1,1,Architect,Architect
Exequiel Palacios,MF,Leverkusen,GER-Bundesliga,1155.0,7.412650372833013,4.945953451097012,2.466696921736001,12.358603823930025,1,6,7,Balanced,Architect
Danilo Cataldi,MF,Fiorentina,ITA-Serie A,1728.0,7.411614859476685,6.710566373541951,0.7010484859347335,14.122181233018637,3,0,3,Architect,Architect
Sergio Akieme,DF,Reims,FRA-Ligue 1,2523.0,7.406773233786225,4.78354007191956,2.623233161866665,12.190313305705786,2,3,5,Balanced,Architect
Shavy Babicka,"MF,FW",Toulouse,FRA-Ligue 1,1186.0,7.405812088400125,2.0557235796004534,5.350088508799671,9.461535668000579,4,2,6,Finisher,Limited
Nemanja Gudelj,"MF,DF",Sevilla,ESP-La Liga,2493.0,7.393706795759499,7.003295914269984,0.3904108814895153,14.397002710029483,1,1,2,Architect,Architect
Warren Kamanzi,"DF,MF",Toulouse,FRA-Ligue 1,1022.0,7.381741670891643,4.69021961838007,2.691522052511573,12.071961289271712,1,1,2,Balanced,Architect
Taylor Harwood-Bellis,DF,Southampton,ENG-Premier League,2825.0,7.381218569353223,6.122977705672383,1.2582408636808395,13.504196275025606,1,0,1,Architect,Architect
Kenny Tete,DF,Fulham,ENG-Premier League,1774.0,7.372500399127603,6.540642708539963,0.8318576905876398,13.913143107667565,0,2,2,Architect,Architect
Gerard Martín,DF,Barcelona,ESP-La Liga,1038.0,7.371043564751744,6.111580042168498,1.2594635225832462,13.482623606920242,1,3,4,Architect,Architect
Andrea Colpani,"FW,MF",Fiorentina,ITA-Serie A,1450.0,7.350004870444536,3.4852827321738005,3.8647221382707357,10.835287602618337,2,1,3,Balanced,Limited
Lassana Coulibaly,MF,Lecce,ITA-Serie A,2667.0,7.347924545407295,5.172801356762648,2.1751231886446476,12.520725902169943,1,0,1,Balanced,Architect
José Luis García Vayá,MF,Valencia,ESP-La Liga,1742.0,7.34584279730916,4.532844023779035,2.8129987735301256,11.878686821088195,2,2,4,Balanced,Limited
José Luis Gayà,DF,Valencia,ESP-La Liga,1803.0,7.34584279730916,4.532844023779035,2.8129987735301256,11.878686821088195,0,1,1,Balanced,Limited
Santiago Pierotti,FW,Lecce,ITA-Serie A,1937.0,7.331456171348691,1.794905719347298,5.536550452001393,9.12636189069599,4,2,6,Finisher,Limited
Pedro Díaz,MF,Rayo Vallecano,ESP-La Liga,1211.0,7.330365147441626,4.710698988288641,2.6196661591529846,12.041064135730267,3,0,3,Balanced,Architect
Giorgos Masouras,"FW,MF",Bochum,GER-Bundesliga,1055.0,7.32676961645484,1.6001515593379736,5.726618057116866,8.926921175792813,2,1,3,Finisher,Limited
Ander Barrenetxea,"MF,FW",Real Sociedad,ESP-La Liga,1263.0,7.312131518498063,3.8329225573688745,3.4792089611291885,11.145054075866938,1,3,4,Balanced,Limited
Kike Salas,DF,Sevilla,ESP-La Liga,2238.0,7.3058014791458845,6.531272469088435,0.7745290100574493,13.83707394823432,3,2,5,Architect,Architect
Jeremie Boga,"MF,FW",Nice,FRA-Ligue 1,1054.0,7.304548567160964,2.7435285076498985,4.5610200595110655,10.048077074810863,1,2,3,Balanced,Limited
Benjamin Bouchouari,MF,Saint-Étienne,FRA-Ligue 1,1772.0,7.28993059322238,6.03708615526557,1.25284443795681,13.32701674848795,1,0,1,Architect,Architect
Iglesias,DF,Getafe,ESP-La Liga,2888.0,7.284523168578744,5.103721309453249,2.180801859125495,12.388244478031993,0,1,1,Balanced,Architect
Jaka Bijol,DF,Udinese,ITA-Serie A,2963.0,7.283961589448154,6.610245150513947,0.673716438934207,13.894206739962101,1,0,1,Architect,Architect
Jordan Lefort,DF,Angers,FRA-Ligue 1,3060.0,7.271243300288916,6.82377390190959,0.44746939837932587,14.095017202198505,0,1,1,Architect,Architect
Marco Brescianini,MF,Atalanta,ITA-Serie A,991.0,7.267041644081473,2.323193995282054,4.943847648799419,9.590235639363527,4,2,6,Balanced,Limited
Leif Davis,DF,Ipswich Town,ENG-Premier League,2743.0,7.2669062577188015,4.01152390614152,3.255382351577281,11.278430163860321,1,2,3,Balanced,Limited
Fikayo Tomori,DF,Milan,ITA-Serie A,1593.0,7.266339126974344,6.786335755139589,0.48000337183475494,14.052674882113934,0,1,1,Architect,Architect
Tete Morente,"FW,MF",Lecce,ITA-Serie A,2021.0,7.266147148795426,2.6662099501118064,4.5999371986836195,9.932357098907232,3,2,5,Balanced,Limited
Zito Luvumbo,"FW,MF",Cagliari,ITA-Serie A,1606.0,7.253765940666199,2.3899503760039806,4.863815564662218,9.64371631667018,2,2,4,Balanced,Limited
Assane Diao,"FW,MF",Como,ITA-Serie A,1252.0,7.248157672584057,3.6590865924954414,3.5890710800886154,10.907244265079498,8,1,9,Balanced,Limited
Pep Chavarría,"DF,FW",Rayo Vallecano,ESP-La Liga,2585.0,7.243805920705199,4.986325871199369,2.25748004950583,12.230131791904569,0,1,1,Balanced,Architect
Manuel Ugarte,MF,Manchester Utd,ENG-Premier League,1785.0,7.235839036293328,6.052829889580607,1.1830091467127204,13.288668925873935,1,2,3,Architect,Architect
Mostafa Mohamed,FW,Nantes,FRA-Ligue 1,1252.0,7.209609759971499,1.3760491469874978,5.833560612984002,8.585658906958997,5,0,5,Finisher,Limited
Paul Wanner,"MF,FW",Heidenheim,GER-Bundesliga,1771.0,7.205643737688661,3.0005939584225416,4.205049779266119,10.206237696111202,3,2,5,Balanced,Limited
Mattias Svanberg,MF,Wolfsburg,GER-Bundesliga,1219.0,7.183938827365637,4.114412795752287,3.06952603161335,11.298351623117924,3,1,4,Balanced,Limited
Oriol Romeu,MF,Girona,ESP-La Liga,1356.0,7.159846590831876,6.569908503443003,0.5899380873888731,13.729755094274879,0,0,0,Architect,Architect
Roberto Navarro,"MF,FW",Mallorca,ESP-La Liga,1278.0,7.154552217572928,3.6579713448882094,3.496580872684719,10.812523562461138,1,0,1,Balanced,Limited
Casper Tengstedt,FW,Hellas Verona,ITA-Serie A,1517.0,7.137801101431251,1.7660519918426871,5.371749109588563,8.903853093273938,6,1,7,Finisher,Limited
