,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,15.8,592,17,76,238,282,93,591,21,8,38.1,11,52.4,432,1766,518,11,10,10,37,16,439,88
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,0.1,11,0,0,1,10,2,11,0,0,,0,,11,56,6,0,0,1,2,1,11,3
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4.0,103,91,102,1,0,0,103,0,0,,0,,78,316,123,0,0,0,0,0,56,0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,24.0,1264,1,31,441,801,207,1256,133,61,45.9,62,46.6,1148,6741,3207,114,69,66,56,35,1130,285
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,0.1,14,0,6,6,2,0,14,1,0,0.0,1,100.0,10,51,27,0,0,0,0,0,10,1
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",22,2001,16.3,1149,11,114,486,559,41,1149,49,25,51.0,20,40.8,904,4962,2178,50,50,17,15,17,883,150
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,19,2003,11.2,1056,80,410,592,58,5,1056,4,3,75.0,1,25.0,832,4228,2168,7,22,0,2,2,777,2
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,27,1996,21.2,2041,91,578,1247,234,19,2041,16,9,56.3,5,31.3,1583,7311,3507,30,33,4,16,5,1476,22
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,21.5,1597,89,327,987,307,12,1597,40,21,52.5,15,37.5,1230,5575,2111,16,35,4,25,24,1099,24
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,12.4,747,6,74,323,358,38,747,22,10,45.5,10,45.5,612,3466,1413,36,36,6,13,9,586,92
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29,1994,17.1,1957,196,669,1175,124,9,1957,1,1,100.0,0,0.0,1658,9114,5226,18,25,0,8,2,1590,3
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,28,1995,18.1,1959,197,751,1176,38,5,1959,3,2,66.7,0,0.0,1630,7441,3525,5,11,0,6,1,1541,1
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,8.8,676,62,278,296,107,15,676,11,8,72.7,1,9.1,480,2242,996,12,6,3,15,11,444,26
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,3.0,245,5,48,126,72,10,245,10,6,60.0,4,40.0,187,995,530,12,11,2,2,3,174,25
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26,1997,16.7,1256,6,56,500,726,97,1256,139,65,46.8,67,48.2,1069,8120,4413,160,105,53,37,24,1045,247
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,14.1,545,15,56,205,293,73,545,72,28,38.9,40,55.6,432,2710,1105,36,18,16,52,21,422,125
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",17,2006,3.6,221,1,20,91,111,17,221,10,5,50.0,5,50.0,179,841,367,4,3,3,14,3,174,38
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,23.6,2094,64,334,1093,685,50,2094,52,32,61.5,19,36.5,1705,8354,3462,41,68,11,31,23,1622,122
FRA-Ligue 1,2324,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",17,2006,21.8,1642,48,261,874,524,35,1642,39,16,41.0,21,53.8,1332,7036,3098,54,61,12,30,34,1295,90
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17,2006,4.1,375,14,107,220,51,3,375,4,2,50.0,1,25.0,297,1310,606,2,7,0,2,1,277,4
