record_type,team,source_player,target_player,connection_strength,avg_x_start,avg_y_start,avg_x_end,avg_y_end,avg_xthreat,progressive_passes,box_entries,pass_distance_avg,connection_id,total_actions,minutes_active,position_variance_x,position_variance_y,xthreat_total
connection,Inter Miami,Noah Allen,Maximiliano Falcón,2,43.2,72.55,38.4,41.45,-0.1468,0,0,31.48,Inter Miami_Noah Allen_Maximiliano Falcón,,,,,
connection,Inter Miami,Noah Allen,Rocco Ríos Novo,7,27.96,65.8,12.9,49.6,-0.0929,0,0,24.62,Inter Miami_Noah Allen_Rocco Ríos Novo,,,,,
connection,Inter Miami,Noah Allen,Rodrigo De Paul,2,33.3,42.8,39.85,31.0,-0.0509,0,0,16.05,Inter Miami_Noah Allen_Rodrigo De Paul,,,,,
connection,Inter Miami,Noah Allen,Sergio Busquets,3,22.93,61.57,29.47,58.0,0.0069,0,0,19.22,Inter Miami_Noah Allen_Sergio Busquets,,,,,
connection,Inter Miami,Noah Allen,Telasco Segovia,1,19.2,47.2,32.2,71.9,0.105,0,0,27.91,Inter Miami_Noah Allen_Telasco Segovia,,,,,
connection,Inter Miami,Rocco Ríos Novo,Ian Fray,1,3.1,47.7,8.2,12.6,-0.0128,0,0,35.47,Inter Miami_Rocco Ríos Novo_Ian Fray,,,,,
connection,Inter Miami,Rocco Ríos Novo,Mateo Silvetti,1,5.1,50.1,56.8,91.4,0.5522,1,0,66.17,Inter Miami_Rocco Ríos Novo_Mateo Silvetti,,,,,
connection,Inter Miami,Rocco Ríos Novo,Maximiliano Falcón,7,7.63,49.64,10.66,20.23,-0.0153,0,0,29.67,Inter Miami_Rocco Ríos Novo_Maximiliano Falcón,,,,,
connection,Inter Miami,Rocco Ríos Novo,Noah Allen,10,8.96,48.54,12.26,75.58,0.0439,0,0,27.36,Inter Miami_Rocco Ríos Novo_Noah Allen,,,,,
connection,Inter Miami,Rocco Ríos Novo,Rodrigo De Paul,1,11.4,52.4,22.4,15.8,-0.0173,0,0,38.22,Inter Miami_Rocco Ríos Novo_Rodrigo De Paul,,,,,
connection,Inter Miami,Rocco Ríos Novo,Sergio Busquets,1,6.2,48.7,24.8,46.9,0.0238,0,0,18.69,Inter Miami_Rocco Ríos Novo_Sergio Busquets,,,,,
connection,Inter Miami,Rocco Ríos Novo,Tadeo Allende,4,5.85,46.75,51.15,17.6,0.0294,4,0,54.57,Inter Miami_Rocco Ríos Novo_Tadeo Allende,,,,,
connection,Inter Miami,Rodrigo De Paul,Baltasar Rodríguez,1,77.7,8.9,73.3,73.9,0.2353,0,0,65.15,Inter Miami_Rodrigo De Paul_Baltasar Rodríguez,,,,,
connection,Inter Miami,Rodrigo De Paul,Ian Fray,6,41.73,28.02,39.62,8.57,-0.035,0,0,24.76,Inter Miami_Rodrigo De Paul_Ian Fray,,,,,
connection,Inter Miami,Rodrigo De Paul,Jordi Alba,1,33.0,42.3,34.0,75.4,0.1127,0,0,33.12,Inter Miami_Rodrigo De Paul_Jordi Alba,,,,,
