minute,player,team,action,start_x,start_y,end_x,end_y,progression,is_successful
75,Unai Simón,Athletic Club,pass,1.9,50.3,38.8,31.0,36.9,False
75,Andreas Christensen,Barcelona,pass,43.4,35.3,58.8,31.7,15.4,False
77,Lamine Yamal,Barcelona,pass,43.5,10.1,53.8,17.2,10.3,False
77,Aitor Paredes,Athletic Club,pass,53.2,85.2,67.8,81.2,14.6,False
77,Iñaki Peña,Barcelona,pass,1.7,42.4,13.3,30.5,11.6,True
77,Andreas Christensen,Barcelona,pass,12.7,30.2,24.2,38.9,11.5,True
77,Unai Simón,Athletic Club,pass,14.4,42.1,66.9,22.7,52.5,True
77,Mikel Jauregizar,Athletic Club,pass,58.7,35.2,71.8,28.4,13.1,True
78,Gavi,Barcelona,pass,29.0,47.2,39.4,20.2,10.4,True
78,Andreas Christensen,Barcelona,pass,43.0,36.5,56.3,34.7,13.3,True
78,Andreas Christensen,Barcelona,pass,45.8,41.5,56.8,34.0,11.0,True
78,Gavi,Barcelona,pass,37.8,19.4,48.4,29.2,10.6,True
78,Pedri,Barcelona,pass,54.7,30.1,71.9,43.9,17.2,False
78,Alex Berenguer,Athletic Club,pass,44.6,6.2,84.5,41.5,39.9,False
80,Eric García,Barcelona,pass,45.0,9.7,62.7,5.5,17.7,False
81,Frenkie de Jong,Barcelona,pass,44.6,45.7,74.5,93.2,29.9,True
81,Fermín López,Barcelona,pass,69.7,80.4,100.0,33.4,30.3,False
82,Unai Simón,Athletic Club,pass,5.3,38.8,67.8,36.5,62.5,True
82,Alex Berenguer,Athletic Club,pass,72.6,78.8,87.7,83.7,15.1,False
82,Eric García,Barcelona,pass,8.6,6.7,37.7,19.4,29.1,False
84,Iñaki Peña,Barcelona,pass,9.7,44.8,27.7,55.8,18.0,True
84,Gavi,Barcelona,pass,40.0,39.9,63.5,3.7,23.5,True
84,Aitor Paredes,Athletic Club,pass,14.8,95.7,56.6,80.6,41.8,False
85,Andreas Christensen,Barcelona,pass,40.9,22.1,51.0,33.2,10.1,True
85,Pau Cubarsí,Barcelona,pass,32.0,39.5,73.9,7.4,41.9,True
85,Unai Simón,Athletic Club,pass,26.1,75.6,68.4,31.3,42.3,False
85,Óscar De Marcos,Athletic Club,pass,67.7,6.5,80.6,16.4,12.9,True
86,Beñat Prados,Athletic Club,pass,70.6,20.8,83.6,5.5,13.0,True
86,Óscar De Marcos,Athletic Club,pass,64.5,36.2,80.6,79.3,16.1,True
89,Iñaki Peña,Barcelona,pass,4.1,43.7,39.9,19.7,35.8,True
89,Íñigo Lekue,Athletic Club,pass,76.4,26.9,94.0,18.5,17.6,True
89,Iñaki Peña,Barcelona,pass,15.1,40.1,35.7,15.7,20.6,True
89,Eric García,Barcelona,pass,30.9,20.2,62.5,20.9,31.6,True
