minute,second,player,team,x,y,end_x,end_y,pass_distance,is_progressive,is_successful,is_cross,is_through_ball,field_zone,pass_length
8,25.0,Eric García,Barcelona,42.2,14.0,57.7,8.3,16.5,True,True,False,False,Middle_Left,
8,27.0,Nico Williams,Athletic Club,57.4,90.2,51.4,85.8,7.4,False,True,False,False,Middle_Right,
8,28.0,Mikel Jauregizar,Athletic Club,51.2,85.7,65.0,75.3,17.3,True,True,False,False,Middle_Right,
8,34.0,Nico Williams,Athletic Club,74.7,63.0,72.6,43.7,19.4,False,True,False,False,Attacking_Center,
9,3.0,Iñaki Peña,Barcelona,5.0,50.9,27.7,36.8,26.7,True,True,False,False,Defensive_Center,
9,5.0,Ronald Araújo,Barcelona,44.8,46.9,48.0,91.8,45.0,False,True,False,False,Middle_Center,
9,9.0,Alejandro Balde,Barcelona,48.0,91.8,96.9,74.9,51.7,True,False,False,False,Middle_Right,
9,18.0,Unai Simón,Athletic Club,7.8,46.7,13.5,61.1,15.5,False,True,False,False,Defensive_Center,
9,21.0,Aitor Paredes,Athletic Club,14.2,60.6,51.9,92.3,49.3,True,False,False,False,Defensive_Center,
9,36.0,Yuri Berchiche,Athletic Club,36.8,100.0,34.2,77.1,23.0,False,True,False,False,Middle_Right,
9,38.0,Íñigo Ruíz de Galarreta,Athletic Club,34.9,76.8,72.6,82.5,38.1,True,True,False,False,Middle_Right,
9,46.0,Nico Williams,Athletic Club,88.8,59.3,84.3,28.3,31.3,False,True,False,False,Attacking_Center,
9,55.0,Íñigo Ruíz de Galarreta,Athletic Club,76.5,20.6,71.8,12.7,9.2,False,True,False,False,Attacking_Left,
9,58.0,Óscar De Marcos,Athletic Club,72.8,15.1,63.4,15.4,9.4,False,True,False,False,Attacking_Left,
10,2.0,Íñigo Ruíz de Galarreta,Athletic Club,63.2,32.0,83.0,100.0,70.8,True,False,False,False,Middle_Left,
10,28.0,Eric García,Barcelona,19.5,0.0,10.6,11.6,14.6,False,True,False,False,Defensive_Left,
10,30.0,Gavi,Barcelona,9.7,12.4,7.6,58.1,45.7,False,True,False,False,Defensive_Left,
10,34.0,Iñaki Peña,Barcelona,8.6,59.1,32.0,93.2,41.4,True,True,False,False,Defensive_Center,
10,40.0,Alejandro Balde,Barcelona,30.5,86.1,28.8,46.0,40.1,False,True,False,False,Defensive_Right,
10,49.0,Pedri,Barcelona,44.6,52.2,46.5,90.9,38.7,False,True,False,False,Middle_Center,
10,52.0,Alejandro Balde,Barcelona,46.9,90.9,55.8,95.1,9.8,False,True,False,False,Middle_Right,
10,54.0,Raphinha,Barcelona,55.8,95.1,39.5,89.6,17.2,False,True,False,False,Middle_Right,
10,56.0,Alejandro Balde,Barcelona,39.9,90.5,32.2,69.2,22.6,False,True,False,False,Middle_Right,
10,58.0,Pau Cubarsí,Barcelona,32.1,69.0,39.3,60.6,11.1,False,True,False,False,Defensive_Right,
11,0.0,Gavi,Barcelona,39.3,60.8,44.9,72.2,12.7,False,True,False,False,Middle_Center,
11,3.0,Pedri,Barcelona,48.1,55.1,62.7,30.7,28.4,True,True,False,False,Middle_Center,
11,4.0,Fermín López,Barcelona,63.4,27.2,42.1,33.1,22.1,False,True,False,False,Middle_Left,
11,7.0,Ronald Araújo,Barcelona,42.1,33.1,54.7,16.3,21.0,True,True,False,False,Middle_Left,
11,11.0,Eric García,Barcelona,55.8,18.1,47.1,26.8,12.3,False,True,False,False,Middle_Left,
11,12.0,Gavi,Barcelona,47.1,26.8,41.1,41.8,16.2,False,True,False,False,Middle_Left,
11,14.0,Ronald Araújo,Barcelona,41.1,41.9,55.8,40.4,14.8,True,True,False,False,Middle_Center,
11,19.0,Pedri,Barcelona,71.0,44.8,80.9,60.5,18.6,False,True,False,False,Attacking_Center,
11,31.0,Alejandro Balde,Barcelona,94.2,100.0,82.5,93.8,13.2,False,True,False,False,Attacking_Right,
11,35.0,Gavi,Barcelona,88.8,93.3,87.2,95.7,2.9,False,True,False,False,Attacking_Right,
11,37.0,Raphinha,Barcelona,87.2,95.7,72.2,85.7,18.0,False,True,False,False,Attacking_Right,
11,39.0,Pedri,Barcelona,70.5,80.4,68.0,23.2,57.3,False,True,False,False,Attacking_Right,
11,41.0,Lamine Yamal,Barcelona,68.0,23.2,55.6,32.8,15.7,False,True,False,False,Attacking_Left,
11,46.0,Eric García,Barcelona,61.0,20.6,69.5,21.8,8.6,False,True,False,False,Middle_Left,
11,47.0,Fermín López,Barcelona,69.7,21.8,57.4,19.6,12.5,False,True,False,False,Attacking_Left,
11,48.0,Eric García,Barcelona,57.3,23.9,52.8,43.6,20.2,False,True,False,False,Middle_Left,
11,51.0,Ronald Araújo,Barcelona,52.8,43.6,59.0,60.6,18.1,False,True,False,False,Middle_Center,
11,51.0,Gavi,Barcelona,59.0,60.6,52.0,46.6,15.7,False,True,False,False,Middle_Center,
