x,y,end_x,end_y,xthreat,action_type
75.6,72.7,98.0,38.2,0.0,pass
68.0,32.5,77.0,57.0,0.049847477,pass
58.0,75.1,70.3,70.6,0.0,pass
80.0,87.1,94.2,79.7,0.0,pass
71.7,26.8,79.8,36.0,0.00059900248,pass
54.7,67.0,66.0,68.2,0.0240330531999999,pass
46.2,34.0,67.6,25.2,0.0,pass
99.5,0.5,93.7,17.6,0.01241914009,pass
42.2,7.6,85.5,18.5,0.0,pass
41.1,15.8,60.6,6.7,0.00551021494,pass
63.0,14.0,77.3,14.3,0.0,pass
69.7,11.9,73.5,32.7,0.0304575754,pass
59.4,22.4,77.4,12.6,0.0,pass
59.9,34.3,78.3,30.3,0.0,pass
67.9,23.0,75.3,30.1,0.0,pass
75.3,59.0,94.0,69.0,0.0,pass
64.0,44.6,72.6,46.7,0.0,pass
73.7,79.3,93.2,33.6,0.0,pass
41.5,36.4,55.5,34.5,0.030137723,pass
68.6,59.7,87.3,75.7,0.0,pass
64.8,58.8,75.0,58.5,0.0,pass
56.6,38.3,89.0,25.3,0.0,pass
60.6,51.2,76.7,24.0,0.0,pass
34.5,31.5,51.4,20.9,0.0150709742599999,pass
37.8,28.5,57.2,29.8,0.03999166534,pass
45.3,38.6,64.2,82.1,0.3988028611799998,pass
35.6,44.6,61.2,65.7,0.2221497924,pass
39.7,38.0,60.1,86.7,0.4593780061399999,pass
65.0,12.2,84.8,13.4,0.0,pass
71.0,41.8,80.1,45.8,0.0,pass
53.3,11.6,91.4,18.6,0.0,pass
59.2,39.4,68.2,36.9,0.0,pass
59.6,27.9,77.4,17.6,0.0,pass
68.6,36.6,85.2,48.2,0.0,pass
67.9,11.9,89.4,19.4,0.0,pass
66.3,7.3,83.3,38.0,0.01884894125,pass
66.0,75.3,84.8,86.6,0.0,pass
42.4,31.0,88.4,37.0,0.0,pass
45.5,53.0,60.0,50.4,0.0425419294999999,pass
70.3,30.9,95.5,30.1,0.0,pass
53.7,22.2,82.9,9.4,0.0,pass
72.4,37.1,93.9,22.1,0.0,pass
