,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,29,1844,64,60.3,20.5,22,78,11,7,20,4,2.52,60,23,37,1.81,0.33,52.5,20.9,31.6,1.54,-0.39
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,14,916,65,29.9,10.2,11,77,4,3,24,2,2.5,24,10,14,1.38,-0.43,25.4,8.7,16.7,1.64,-0.08
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,30,1663,55,54.3,18.5,19,73,4,11,26,2,2.5,46,22,24,1.3,-0.83,44.0,18.2,25.8,1.4,-0.66
FRA-Ligue 1,2425,Paris S-G,Louis Mouquet,POR,GK,20,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,25,2011,80,65.7,22.3,22,88,19,3,27,8,2.52,61,25,36,1.61,-0.19,58.6,22.1,36.5,1.63,-0.19
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,16,877,55,28.7,9.7,10,74,5,6,23,4,2.69,27,11,16,1.64,-0.05,24.7,9.6,15.1,1.55,-0.21
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,12,618,52,20.2,6.9,8,72,2,4,12,6,2.5,19,5,14,2.04,0.45,21.0,6.6,14.4,2.1,0.5
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,22,1725,78,56.4,19.2,19,87,16,3,25,5,2.41,52,18,34,1.77,0.22,50.0,15.9,34.1,1.78,0.19
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,10,879,88,28.7,9.8,9,90,9,1,69,23,2.5,26,9,17,1.74,0.09,24.2,10.8,13.4,1.38,-0.45
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,5,382,76,12.5,4.2,4,90,4,1,22,9,3.0,14,6,8,1.88,0.24,11.4,6.3,5.0,1.18,-0.59
FRA-Ligue 1,2425,Paris S-G,Naoufel El Hannach,MAR,DF,17,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,2,76,38,2.5,0.8,0,,0,2,38,1,1.5,2,1,1,1.18,-0.5,1.1,0.8,0.3,0.38,-1.35
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,24,1676,70,54.8,18.6,19,82,14,5,24,3,2.38,48,17,31,1.66,-0.03,49.8,14.4,35.4,1.9,0.45
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,29,1730,60,56.5,19.2,20,75,5,9,25,1,2.48,56,16,40,2.08,0.93,51.9,16.6,35.2,1.83,0.31
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,2,23,12,0.8,0.3,0,,0,2,12,12,3.0,1,0,1,3.91,2.25,0.7,0.2,0.4,1.68,-0.02
FRA-Ligue 1,2425,Paris S-G,Quentin Ndjantou Mbitcha,FRA,FW,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,10,358,36,11.7,4.0,2,68,1,8,28,3,2.4,10,7,3,0.75,-1.04,10.6,3.0,7.7,1.92,0.26
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,20,808,40,26.4,9.0,8,81,4,12,13,9,2.4,26,9,17,1.89,0.29,28.9,8.2,20.7,2.31,0.83
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,29,2042,70,66.7,22.7,20,89,19,9,29,2,2.48,60,22,38,1.67,0.0,58.7,21.2,37.5,1.65,-0.14
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,29,2050,71,67.0,22.8,23,82,15,6,26,0,2.38,61,21,40,1.76,0.24,54.6,21.7,32.9,1.45,-0.76
FRA-Ligue 1,2425,Paris S-G,Wassim Slama,FRA,MF,15,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,28,2132,76,69.7,23.7,23,86,20,5,29,3,2.46,64,25,39,1.65,-0.1,64.2,22.2,42.0,1.77,0.25
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,4,183,46,6.0,2.0,2,58,0,2,34,18,3.0,2,3,-1,-0.49,-2.31,3.6,1.4,2.2,1.08,-0.65
