player,team,field_x,field_y,minute,second,pass_distance
Unai Gómez,Athletic Club,52.605,34.0,14,39.0,23.935403088312505
Alejandro Balde,Barcelona,13.965,55.896,14,43.0,19.249816726400283
Iñaki Peña,Barcelona,4.515,31.756,14,46.0,46.54291165150715
Nico Williams,Athletic Club,74.44500000000001,51.952,14,51.0,15.363895990275367
Alex Berenguer,Athletic Club,94.395,43.86,14,53.0,4.518535271523279
Iñaki Peña,Barcelona,5.3549999999999995,35.496,15,14.0,21.072148086989138
Pau Cubarsí,Barcelona,30.030000000000005,43.384,15,15.0,14.845244390039527
Gavi,Barcelona,33.6,30.328,15,19.0,9.389285436070201
Ronald Araújo,Barcelona,34.02,20.128000000000004,15,22.0,12.506654388764408
Eric García,Barcelona,42.945,10.744,15,24.0,10.448160795087329
Ronald Araújo,Barcelona,40.214999999999996,26.18,15,32.0,12.84348180985203
Pedri,Barcelona,47.03999999999999,37.06,15,33.0,29.18730218776652
Eric García,Barcelona,45.675,9.927999999999999,15,36.0,16.315082102153212
Pedri,Barcelona,48.405,33.524,15,39.0,30.050134924821883
Alejandro Balde,Barcelona,71.295,62.832,15,45.0,9.893044829575972
Pau Cubarsí,Barcelona,40.214999999999996,68.0,15,55.0,21.490824181496624
Iñaki Peña,Barcelona,28.875000000000004,49.572,15,58.0,17.693921018248044
Ronald Araújo,Barcelona,36.644999999999996,28.288000000000004,16,3.0,14.34012552246319
Unai Gómez,Athletic Club,52.5,34.068,17,57.0,24.369489120619658
Alejandro Balde,Barcelona,9.03,61.812000000000005,18,7.0,11.295810904932859
Unai Núñez,Athletic Club,64.365,6.188,18,29.0,12.38228476493737
Óscar De Marcos,Athletic Club,75.81,0.0,18,46.0,14.155089861954254
Íñigo Ruíz de Galarreta,Athletic Club,53.550000000000004,2.924,18,49.0,30.543855699632953
Unai Núñez,Athletic Club,28.665000000000003,23.323999999999998,18,53.0,13.977978716538384
Unai Simón,Athletic Club,20.895,38.76,18,59.0,50.037990377312326
Íñigo Ruíz de Galarreta,Athletic Club,72.55499999999999,27.676000000000002,19,50.0,27.2491178756304
Ronald Araújo,Barcelona,23.834999999999997,30.056,20,23.0,18.80177717663945
Eric García,Barcelona,32.655,11.764000000000001,20,24.0,8.745525084293108
Ronald Araújo,Barcelona,26.775000000000002,19.448,20,26.0,22.226126608115955
Iñaki Peña,Barcelona,9.765,34.0,20,29.0,6.858791803225987
Pedri,Barcelona,13.860000000000001,33.116,20,30.0,12.472318790024572
Ronald Araújo,Barcelona,13.860000000000001,16.864,20,37.0,14.249111691610812
Eric García,Barcelona,18.27,3.944,20,39.0,8.768708912947222
Pedri,Barcelona,26.775000000000002,6.0520000000000005,20,41.0,11.350933397743114
Ronald Araújo,Barcelona,26.46,19.311999999999998,21,0.0,7.777013308462323
