entity_type,entity_id,entity_name,team,minutes_active,total_actions,actions_per_minute,avg_x,avg_y,position_variance_x,position_variance_y,offensive_actions,defensive_actions,neutral_actions,passes_attempted,passes_completed,pass_completion_pct,progressive_passes,box_entries,xthreat_total,xthreat_per_action,pre_assists,carries,progressive_carries,carry_distance_total,passes_to_goal,passes_to_shot,key_passes,zone_id,zone_x_center,zone_y_center,possession_pct,action_density,progressive_actions,passes_through_zone,successful_passes
zone,Barcelona_zone_18,FinalThird_Right,Barcelona,,30,,,,,,26,0,4,,,,,0,0.8914,0.0297,,,,,,,,18.0,91.99,83.48,2.8,1.36,0.0,23.0,13.0
zone,Mallorca_zone_1,Def_Left,Mallorca,,36,,,,,,5,4,27,,,,,0,0.0385,0.0011,,,,,,,,1.0,2.53,8.46,6.7,2.25,0.0,4.0,3.0
zone,Mallorca_zone_2,Def_Center,Mallorca,,92,,,,,,42,15,35,,,,,0,0.7395,0.008,,,,,,,,2.0,7.95,50.53,17.1,2.3,6.0,38.0,22.0
zone,Mallorca_zone_3,Def_Right,Mallorca,,36,,,,,,20,10,6,,,,,0,0.4043,0.0112,,,,,,,,3.0,8.7,80.46,6.7,2.77,0.0,17.0,9.0
zone,Mallorca_zone_4,DefMid_Left,Mallorca,,38,,,,,,28,5,5,,,,,0,0.103,0.0027,,,,,,,,4.0,27.51,16.7,7.1,2.0,1.0,21.0,13.0
zone,Mallorca_zone_5,DefMid_Center,Mallorca,,52,,,,,,33,13,6,,,,,1,1.6417,0.0316,,,,,,,,5.0,26.03,51.52,9.6,2.0,5.0,30.0,24.0
zone,Mallorca_zone_6,DefMid_Right,Mallorca,,48,,,,,,31,7,10,,,,,0,0.4122,0.0086,,,,,,,,6.0,26.74,80.76,8.9,1.92,0.0,21.0,16.0
zone,Mallorca_zone_7,Mid_Left,Mallorca,,32,,,,,,24,3,5,,,,,0,0.1829,0.0057,,,,,,,,7.0,39.9,15.89,5.9,1.45,1.0,15.0,12.0
zone,Mallorca_zone_8,Mid_Center,Mallorca,,22,,,,,,18,0,4,,,,,0,0.0808,0.0037,,,,,,,,8.0,40.8,51.13,4.1,1.69,2.0,12.0,11.0
zone,Mallorca_zone_9,Mid_Right,Mallorca,,27,,,,,,20,1,6,,,,,0,1.4581,0.054,,,,,,,,9.0,39.55,81.61,5.0,1.69,3.0,17.0,14.0
zone,Mallorca_zone_10,AttMid_Left,Mallorca,,41,,,,,,26,2,13,,,,,0,0.4739,0.0116,,,,,,,,10.0,59.84,14.88,7.6,1.95,2.0,20.0,15.0
zone,Mallorca_zone_11,AttMid_Center,Mallorca,,12,,,,,,8,1,3,,,,,0,0.0122,0.001,,,,,,,,11.0,58.92,46.81,2.2,1.5,1.0,7.0,3.0
zone,Mallorca_zone_12,AttMid_Right,Mallorca,,18,,,,,,13,1,4,,,,,1,0.1744,0.0097,,,,,,,,12.0,60.13,88.65,3.3,1.8,4.0,10.0,10.0
zone,Mallorca_zone_13,Att_Left,Mallorca,,35,,,,,,21,0,14,,,,,1,0.0939,0.0027,,,,,,,,13.0,73.18,12.13,6.5,2.19,3.0,17.0,12.0
zone,Mallorca_zone_14,Att_Center,Mallorca,,7,,,,,,1,0,6,,,,,0,0.0,0.0,,,,,,,,14.0,74.14,51.47,1.3,1.0,0.0,1.0,0.0
zone,Mallorca_zone_15,Att_Right,Mallorca,,13,,,,,,11,0,2,,,,,2,0.2733,0.021,,,,,,,,15.0,72.12,85.28,2.4,2.17,4.0,9.0,5.0
zone,Mallorca_zone_16,FinalThird_Left,Mallorca,,17,,,,,,11,2,4,,,,,1,0.0875,0.0051,,,,,,,,16.0,90.56,13.69,3.2,1.42,1.0,11.0,3.0
zone,Mallorca_zone_17,FinalThird_Center,Mallorca,,10,,,,,,4,0,6,,,,,0,0.0119,0.0012,,,,,,,,17.0,89.61,49.52,1.9,1.67,0.0,2.0,0.0
zone,Mallorca_zone_18,FinalThird_Right,Mallorca,,3,,,,,,2,0,1,,,,,1,0.0,0.0,,,,,,,,18.0,94.17,85.2,0.6,3.0,1.0,2.0,1.0
