player,team,x,y,end_x,end_y,minute,second,is_successful,outcome_type,field_x,field_y,field_end_x,field_end_y,pass_distance
Unai Simón,Athletic Club,14.2,48.9,41.9,62.6,6,4.0,True,Successful,14.909999999999998,33.252,43.995,42.568,30.540548145048085
Yuri Berchiche,Athletic Club,30.6,76.7,39.9,70.4,6,8.0,True,Successful,32.13,52.156,41.894999999999996,47.87200000000001,10.663389751856574
Unai Gómez,Athletic Club,40.6,69.2,37.9,73.5,6,10.0,True,Successful,42.63,47.056000000000004,39.795,49.98,4.072714205539097
Mikel Jauregizar,Athletic Club,36.7,71.7,48.5,97.1,6,12.0,True,Successful,38.535000000000004,48.75600000000001,50.925,66.02799999999999,21.25638925123454
Yuri Berchiche,Athletic Club,44.0,100.0,49.0,95.0,6,33.0,True,Successful,46.2,68.0,51.449999999999996,64.6,6.254798158214217
Yuri Berchiche,Athletic Club,50.4,76.1,53.1,72.2,7,30.0,True,Successful,52.92,51.74799999999999,55.755,49.096,3.8820521634826046
Mikel Jauregizar,Athletic Club,52.7,71.6,34.5,63.8,7,30.0,True,Successful,55.335,48.687999999999995,36.224999999999994,43.384,19.832410746049007
Aitor Paredes,Athletic Club,34.2,62.3,18.8,48.4,7,33.0,True,Successful,35.910000000000004,42.364,19.74,32.912,18.729901334497203
Unai Simón,Athletic Club,19.1,47.9,59.3,28.7,7,36.0,True,Successful,20.055,32.571999999999996,62.265,19.516,44.18306503627832
Íñigo Ruíz de Galarreta,Athletic Club,53.1,33.1,69.3,91.1,7,43.0,True,Successful,55.755,22.508000000000003,72.765,61.94799999999999,42.9517601501964
Iñaki Peña,Barcelona,4.5,57.8,24.8,39.5,8,16.0,True,Successful,4.725,39.303999999999995,26.04,26.86,24.68161990226735
Ronald Araújo,Barcelona,36.7,34.1,45.2,50.0,8,17.0,True,Successful,38.535000000000004,23.188000000000002,47.46,34.0,14.019806311072912
Pedri,Barcelona,45.2,50.3,38.8,38.0,8,18.0,True,Successful,47.46,34.204,40.739999999999995,25.84,10.72916101100175
Ronald Araújo,Barcelona,41.0,35.9,42.7,18.1,8,22.0,True,Successful,43.05,24.412,44.83500000000001,12.308000000000002,12.234910747528973
Eric García,Barcelona,42.2,14.0,57.7,8.3,8,25.0,True,Successful,44.31,9.520000000000001,60.58500000000001,5.644,16.730182336125335
Nico Williams,Athletic Club,57.4,90.2,51.4,85.8,8,27.0,True,Successful,60.269999999999996,61.336,53.97,58.344,6.974386281243673
Mikel Jauregizar,Athletic Club,51.2,85.7,65.0,75.3,8,28.0,True,Successful,53.76,58.275999999999996,68.25,51.204,16.123687047322644
Nico Williams,Athletic Club,74.7,63.0,72.6,43.7,8,34.0,True,Successful,78.435,42.84,76.23,29.716000000000005,13.3079450329493
Iñaki Peña,Barcelona,5.0,50.9,27.7,36.8,9,3.0,True,Successful,5.25,34.612,29.084999999999997,25.024,25.69118465544164
Ronald Araújo,Barcelona,44.8,46.9,48.0,91.8,9,5.0,True,Successful,47.03999999999999,31.892,50.4,62.42399999999999,30.716325040603405
Unai Simón,Athletic Club,7.8,46.7,13.5,61.1,9,18.0,True,Successful,8.19,31.756,14.175,41.548,11.476214053423718
Yuri Berchiche,Athletic Club,36.8,100.0,34.2,77.1,9,36.0,True,Successful,38.64,68.0,35.910000000000004,52.428,15.809493477021965
Íñigo Ruíz de Galarreta,Athletic Club,34.9,76.8,72.6,82.5,9,38.0,True,Successful,36.644999999999996,52.224000000000004,76.23,56.099999999999994,39.77430830322509
Nico Williams,Athletic Club,88.8,59.3,84.3,28.3,9,46.0,True,Successful,93.24,40.324,88.515,19.244000000000003,21.603055918087136
Íñigo Ruíz de Galarreta,Athletic Club,76.5,20.6,71.8,12.7,9,55.0,True,Successful,80.325,14.008000000000001,75.39,8.636,7.294697320656975
Óscar De Marcos,Athletic Club,72.8,15.1,63.4,15.4,9,58.0,True,Successful,76.44,10.267999999999999,66.57000000000001,10.472,9.87210798158123
Eric García,Barcelona,19.5,0.0,10.6,11.6,10,28.0,True,Successful,20.475,0.0,11.129999999999999,7.888,12.229046119792011
Gavi,Barcelona,9.7,12.4,7.6,58.1,10,30.0,True,Successful,10.184999999999999,8.432,7.9799999999999995,39.507999999999996,31.154129758348244
Iñaki Peña,Barcelona,8.6,59.1,32.0,93.2,10,34.0,True,Successful,9.03,40.187999999999995,33.6,63.376000000000005,33.78414190119383
Alejandro Balde,Barcelona,30.5,86.1,28.8,46.0,10,40.0,True,Successful,32.025,58.548,30.240000000000002,31.28,27.32636179589226
Pedri,Barcelona,44.6,52.2,46.5,90.9,10,49.0,True,Successful,46.83,35.496,48.825,61.812000000000005,26.391511533066843
Alejandro Balde,Barcelona,46.9,90.9,55.8,95.1,10,52.0,True,Successful,49.245,61.812000000000005,58.589999999999996,64.66799999999999,9.771681585070192
Raphinha,Barcelona,55.8,95.1,39.5,89.6,10,54.0,True,Successful,58.589999999999996,64.66799999999999,41.475,60.928,17.51887054007763
Alejandro Balde,Barcelona,39.9,90.5,32.2,69.2,10,56.0,True,Successful,41.894999999999996,61.54,33.81,47.056000000000004,16.587750932540544
Pau Cubarsí,Barcelona,32.1,69.0,39.3,60.6,10,58.0,True,Successful,33.705,46.919999999999995,41.26499999999999,41.208,9.475259574280795
Gavi,Barcelona,39.3,60.8,44.9,72.2,11,0.0,True,Successful,41.26499999999999,41.344,47.145,49.096,9.729743264855452
Pedri,Barcelona,48.1,55.1,62.7,30.7,11,3.0,True,Successful,50.505,37.468,65.835,20.876,22.589895174612913
Fermín López,Barcelona,63.4,27.2,42.1,33.1,11,4.0,True,Successful,66.57000000000001,18.496000000000002,44.205000000000005,22.508000000000003,22.722001870433864
